Ticker,Ticker_Name,Date,Weighted_Compound_Score
SE,garena,2023-02-18,0.4351214285714286
SE,garena,2023-02-19,0.654423076923077
SE,garena,2023-02-20,0.3375333333333333
SE,garena,2023-02-21,0.0281
SE,garena,2023-02-22,0.3839285714285714
SE,garena,2023-02-23,0.069475
SE,garena,2023-02-24,0.0593
SE,garena,2023-02-25,0.08202
SE,garena,2023-02-26,-0.5169
SE,garena,2023-02-28,0.741907874015748
SE,garena,2023-03-01,-0.438575
SE,garena,2023-03-02,-0.0817085714285714
SE,garena,2023-03-03,0.872
SE,garena,2023-03-04,0.6535
SE,garena,2023-03-05,0.5563
SE,garena,2023-03-07,-0.2578923076923077
SE,garena,2023-03-08,0.4863375
SE,garena,2023-03-09,0.2258232432432433
SE,garena,2023-03-10,0.1352666666666666
SE,garena,2023-03-11,0.48748
SE,garena,2023-03-12,-0.3360588235294117
SE,garena,2023-03-13,0.3579904761904762
SE,garena,2023-03-14,-0.8885
SE,garena,2023-03-15,-0.1486
SE,garena,2023-03-16,0.1422
SE,garena,2023-03-17,0.032243448275862
SE,garena,2023-03-18,0.1951428571428571
SE,garena,2023-03-19,0.25875
SE,garena,2023-03-20,0.056575
SE,garena,2023-03-21,0.74935
SE,garena,2023-03-22,0.0007714285714285
SE,garena,2023-03-23,-0.2624368421052631
SE,garena,2023-03-24,-0.3863333333333333
SE,garena,2023-03-25,0.47118
SE,garena,2023-03-26,0.3749710843373494
SE,garena,2023-03-28,0.5411428571428571
SE,garena,2023-03-29,0.0340533333333333
SE,garena,2023-03-30,-0.3537857142857143
SE,garena,2023-03-31,0.5188666666666667
SE,garena,2023-04-01,0.2263
SE,garena,2023-04-02,0.128
SE,garena,2023-04-03,-0.30288
SE,garena,2023-04-04,0.4209333333333334
SE,garena,2023-04-05,-0.3182
SE,garena,2023-04-06,0.1181571428571428
SE,garena,2023-04-07,0.33925
SE,garena,2023-04-08,0.01414375
SE,garena,2023-04-09,-0.2036408163265306
SE,garena,2023-04-10,0.7381909090909091
SE,garena,2023-04-11,0.1447556776556776
SE,garena,2023-04-12,-0.2298199999999999
SE,garena,2023-04-13,0.1989181818181818
